日付,始値,高値,安値,終値,出来高,調整後終値,Unnamed: 7
2011年7月22日,10160,10210,10140,10200,458344,10200,nan
2011年7月25日,10170,10170,10100,10120,254039,10120,nan
2011年7月26日,10150,10190,10100,10180,438094,10180,nan
2011年7月27日,10110,10120,10070,10090,276918,10090,nan
2011年7月28日,9990,10000,9910,9970,576929,9970,nan
2011年7月29日,9940,9970,9880,9900,394194,9900,nan
2011年8月1日,9980,10090,9980,10040,408341,10040,nan
2011年8月2日,9910,9940,9880,9900,551389,9900,nan
2011年8月3日,9740,9740,9660,9710,1057471,9710,nan
2011年8月4日,9740,9830,9670,9720,535771,9720,nan
2011年8月5日,9340,9400,9310,9370,1446836,9370,nan
2011年8月8日,9220,9270,9120,9190,1152139,9190,nan
2011年8月9日,8840,9060,8710,9060,2170891,9060,nan
2011年8月10日,9230,9230,9060,9060,654245,9060,nan
2011年8月11日,8860,9040,8860,9040,1229178,9040,nan
2011年8月12日,9130,9140,8980,9000,663218,9000,nan
2011年8月15日,9130,9170,9080,9120,219635,9120,nan
2011年8月16日,9170,9200,9120,9140,417106,9140,nan
2011年8月17日,9080,9140,9050,9110,620452,9110,nan
2011年8月18日,9100,9100,8980,8990,668454,8990,nan
2011年8月19日,8810,8850,8760,8780,879129,8780,nan
2011年8月22日,8750,8810,8670,8670,589033,8670,nan
2011年8月23日,8740,8800,8680,8800,555129,8800,nan
2011年8月24日,8870,8880,8670,8720,1120720,8720,nan
2011年8月25日,8800,8900,8790,8830,558916,8830,nan
2011年8月26日,8790,8860,8790,8860,305721,8860,nan
2011年8月29日,8860,8980,8800,8910,336675,8910,nan
2011年8月30日,9010,9050,8990,9010,243712,9010,nan
2011年8月31日,8990,9020,8960,9020,200633,9020,nan
2011年9月1日,9050,9150,9050,9110,505109,9110,nan
2011年9月2日,9040,9070,8960,9000,361333,9000,nan
2011年9月5日,8880,8900,8810,8830,326743,8830,nan
2011年9月6日,8740,8760,8640,8640,452751,8640,nan
2011年9月7日,8790,8830,8750,8830,336166,8830,nan
2011年9月8日,8910,8930,8800,8850,237787,8850,nan
2011年9月9日,8820,8860,8780,8780,102004,8780,nan
2011年9月12日,8600,8630,8570,8600,489044,8600,nan
2011年9月13日,8620,8690,8600,8690,334279,8690,nan
2011年9月14日,8690,8720,8540,8580,803358,8580,nan
2011年9月15日,8710,8750,8690,8710,850166,8710,nan
2011年9月16日,8840,8920,8830,8900,838938,8900,nan
2011年9月20日,8800,8820,8750,8770,403982,8770,nan
2011年9月21日,8770,8820,8760,8790,346069,8790,nan
2011年9月22日,8690,8690,8600,8640,562892,8640,nan
2011年9月26日,8600,8610,8410,8410,1341460,8410,nan
2011年9月27日,8550,8700,8530,8700,1224370,8700,nan
2011年9月28日,8720,8780,8710,8750,347718,8750,nan
2011年9月29日,8650,8830,8620,8830,1308826,8830,nan
2011年9月30日,8830,8870,8770,8800,1027120,8800,nan
2011年10月3日,8660,8680,8570,8650,389512,8650,nan
2011年10月4日,8530,8590,8480,8580,374743,8580,nan
2011年10月5日,8640,8640,8470,8480,1000521,8480,nan
2011年10月6日,8600,8670,8590,8630,607450,8630,nan
2011年10月7日,8720,8780,8690,8690,338053,8690,nan
2011年10月11日,8890,8920,8870,8870,524253,8870,nan
2011年10月12日,8830,8890,8800,8850,604695,8850,nan
2011年10月13日,8950,8970,8910,8910,1009277,8910,nan
2011年10月14日,8880,8910,8860,8870,423018,8870,nan
2011年10月17日,8990,9030,8980,9010,596118,9010,nan
2011年10月18日,8860,8890,8840,8860,476853,8860,nan
2011年10月19日,8950,8950,8860,8890,100487,8890,nan
2011年10月20日,8860,8860,8790,8800,89199,8800,nan
